Studio ItemNo	BaseStudioItemNo	BL ItemNo	BL ItemKey	LDraw ItemNo	LDD ItemNo	Description	isPerfectForCulling	BLCatalogIndex	BLCatalogSubIndex	EasyModeIndex	IsAssembly?	flexible type	IsDecorated	XPCatalogIndex	XPCatalogSubIndex
61513	409	3037pb010	61513	3037d01.dat		Slope 45 2 x 4 with '28' Pattern (Sticker) - Set 5521	o	82	1	5	False		True	5006	5006
103349	409	3037pb019	103349	3037pb019.dat		Slope 45 2 x 4 with Train Logo Black Pattern (Sticker) - Set 4564	o	82	1	5	False		True	5006	5006
108839	409	3037pb024	108839	3037dq0.dat		Slope 45 2 x 4 with Hieroglyphs Pattern (Sticker) - Set 7327	o	82	1	5	False		true	5006	5006
126521	409	3037pb031l	126521	3037d50.dat		Slope 45 2 x 4 with White 'LL 929' on Stripe Pattern Model Left Side (Sticker) - Set 70816	o	82	1	5	False		True	5006	5006
126522	409	3037pb031r	126522	3037d51.dat		Slope 45 2 x 4 with White 'LL 929' on Stripe Pattern Model Right Side (Sticker) - Set 70816	o	82	1	5	False		True	5006	5006
126524	409	3037pb033l	126524	3037d52.dat		Slope 45 2 x 4 with White Thick Broken Line Pattern Model Left Side (Sticker) - Set 70816	o	82	1	5	False		True	5006	5006
126523	409	3037pb033r	126523	3037d53.dat		Slope 45 2 x 4 with White Thick Broken Line Pattern Model Right Side (Sticker) - Set 70816	o	82	1	5	False		True	5006	5006
172353	409	3037pb051	172353	3037pb051.dat		Slope 45 2 x 4 with Fire Logo and Bumper Lines Pattern	o	82	1	5	False		true	5006	5006
173686	409	3037pb052	173686	3037pb052.dat		Slope 45 2 x 4 with Red Stripe Pattern	o	82	1	5	False		true	5006	5006
2184	409	3037px10	2184	3037p01.dat		Slope 45 2 x 4 with Octan Pattern	o	82	1	5	False		True	5006	5006
61194	409	3037px12	61194	3037px12.dat		Slope 45 2 x 4 with Red 'Air Canada' Pattern	o	82	1	5	False		True	5006	5006
3157	409	3037px1u	3157	3037p05.dat		Slope 45 2 x 4 with Silver Car Headlights, Orange Signal Lights, Black Grille with White Triangle in Oval Logo Pattern	o	82	1	5	False		True	5006	5006
38543	409	3037px3	38543	3037ps2.dat		Slope 45 2 x 4 with Red Gryphon Pattern Model Right Side	o	82	1	5	False		True	5006	5006
38544	409	3037px4	38544	3037ps3.dat		Slope 45 2 x 4 with Red Gryphon Pattern Model Left Side	o	82	1	5	False		True	5006	5006
10621	409	3037px5	10621	3037ps0.dat		Slope 45 2 x 4 with Jedi Starfighter Pattern Model Left Side	o	82	1	5	False		True	5006	5006
10622	409	3037px6	10622	3037ps1.dat		Slope 45 2 x 4 with Jedi Starfighter Pattern Model Right Side	o	82	1	5	False		True	5006	5006
1204	409	3037px8	1204	3037pc0.dat		Slope 45 2 x 4 with Red Digital '268' on Black Background, Map with Lines, Buttons, and Bar Gauges Pattern	o	82	1	5	False		true	5006	5006
413	413	3038	413	3038.dat	3038	Slope 45 2 x 3	o	81	1	5	False		False	5006	5006
3238	3238	30381	3238	30381.dat	30381	Minifigure, Headgear Hood	o	59	6	30	False		False	5094	5097
414	414	30382	414	30382.dat	30382	Wedge 2 x 16 Triple	o	106	1	5	False		False	5006	5008
415	415	30383	415	30383.dat	30383	Hinge Plate 1 x 2 Locking with 1 Finger on Top	o	48	-1	21	False		False	5021	
416	416	30384	416	30384.dat	30384	Windscreen 7 x 4 x 2 Round	o	112	-1	11	False		False	5062	
1972	1972	30386	1972	30386.dat	30386	Hinge Brick 1 x 2 Locking with 1 Finger Vertical End and 2 Fingers Vertical End	o	48	-1	21	False		False	5021	
1969	1969	30387	1969	30387.dat	30387	Hinge Brick 1 x 4 Locking with 1 Finger Vertical End and 2 Fingers Vertical End	o	48	-1	21	False		False	5021	
9234	1969	30387p01	9234	30387p01.dat		Hinge Brick 1 x 4 Locking with Black and Yellow Danger Stripes Pattern on Both Sides	o	49	-1	21	False		True	5021	
9235	1969	30387p02	9235	30387p02.dat		Hinge Brick 1 x 4 Locking with Red and White Danger Stripes Pattern on Both Sides	o	49	-1	21	False		True	5021	
-1161	1969	30387p02	9235	30387p03.dat		Hinge Brick 1 x 4 Locking, 9 Teeth with Red and White Danger Stripes Red Pattern on Both Sides	o	0	0	0	False		True		
